Country,covCases,covDeaths,airQual,percentEducation,GDP,avgInc,landlocked,waterlocked,popDens
Pakistan,66457.00,1395.00,65.80,2.90,304951818494.00,4060.00,0.00,0.00,250.00
Palau,0.00,0.00,,7.60,289823500.00,41280.00,0.00,1.00,39.00
Palestine,447.00,3.00,33.00,5.30,14498100000.00,51782.00,0.00,0.00,820.00
Panama,12531.00,326.00,11.00,4.10,62283756584.00,8356.00,0.00,0.00,57.00
Papua New Guinea,8.00,0.00,12.00,  ,20536314601.00,2386.00,0.00,0.00,19.00
Paraguay,884.00,11.00,12.00,3.40,39667400816.00,6179.00,1.00,0.00,18.00
Peru,148285.00,4230.00,23.30,3.90,211389272242.00,5161.00,0.00,0.00,26.00
Philippines,16634.00,942.00,17.60,2.70,313595208737.00,2401.00,0.00,1.00,320.00
Poland,23376.00,1051.00,18.70,4.60,526465839003.00,15338.00,0.00,0.00,121.00
Portugal,32203.00,1396.00,9.30,4.90,219308128887.00,16186.00,0.00,0.00,111.00
Puerto Rico,3647.00,132.00,10.20,6.10,101100000000.00,20296.00,0.00,1.00,323.00
Qatar,55262.00,36.00,91.00,2.90,166928571429.00,26555.00,0.00,0.00,249.00
Republic Of The Congo,571.00,19.00,,,11260000000.00,2106.00,0.00,0.00,16.00
Reunion,470.00,1.00,,,22300000000.00,54236.00,0.00,0.00,357.00
Romania,19133.00,1253.00,18.30,3.10,211883923504.00,7922.00,0.00,0.00,81.00
Russia,396575.00,4555.00,9.90,3.70,1578417211937.00,11724.00,0.00,0.00,9.00
Rwanda,355.00,0.00,43.00,3.10,9135454442.00,1101.00,1.00,0.00,492.00
Saint Barthélemy,6.00,0.00,,,191000000.00,42944.00,0.00,0.00,470.00
Saint Kitts And Nevis,15.00,0.00,,2.60,992007403.00,30564.00,0.00,1.00,204.00
Saint Lucia,18.00,0.00,22.00,3.80,1737504296.00,28393.00,0.00,1.00,298.00
Saint Martin,40.00,3.00,,,1394000000.00,48617.00,0.00,1.00,730.00
Saint Pierre And Miquelon,1.00,0.00,,,261300000.00,1503.00,0.00,0.00,24.00
Saint Vincent And The Grenadines,26.00,0.00,22.00,5.80,785222509.00,15185.00,0.00,1.00,285.00
Samoa,0.00,0.00,12.00,4.10,840927997.00,6311.00,0.00,1.00,70.00
San Marino,671.00,42.00,,3.20,1632860041.00,119300.00,1.00,1.00,556.00
Sao Tome And Principe,463.00,12.00,29.00,4.90,392570293.00,3836.00,0.00,0.00,227.00
Saudi Arabia,83384.00,480.00,22.10,5.60,686738400000.00,24980.00,0.00,0.00,16.00
Senegal,3429.00,41.00,41.00,4.80,21070225735.00,3897.00,0.00,0.00,85.00
Serbia,11354.00,242.00,23.30,4.00,41431648801.00,8921.00,1.00,0.00,99.00
Seychelles,11.00,0.00,20.00,4.40,1497959569.00,14263.61,0.00,1.00,218.00
